,ROC,Measure,Classifier,GAN
146,0.8047846580038265,Lee Gan conditional 7,Baseline,Lee Gan conditional
147,0.6280352534080038,Lee Gan conditional 7,Baseline,Lee Gan conditional
148,0.788160518724091,Lee Gan conditional 7,Baseline,Lee Gan conditional
149,0.7846288875657684,Lee Gan conditional 7,Baseline,Lee Gan conditional
150,0.7879970316984215,Lee Gan conditional 7,Baseline,Lee Gan conditional
151,0.8396182936065051,Lee Gan conditional 7,Baseline,Lee Gan conditional
152,0.6904539770009567,Lee Gan conditional 7,Baseline,Lee Gan conditional
153,0.6819756955516582,Lee Gan conditional 7,Baseline,Lee Gan conditional
154,0.7180258303272481,Lee Gan conditional 7,Baseline,Lee Gan conditional
155,0.839074893873565,Lee Gan conditional 7,Baseline,Lee Gan conditional
156,0.7007050806162308,Lee Gan conditional 7,Baseline,Lee Gan conditional
157,0.7585559767119738,Lee Gan conditional 7,Baseline,Lee Gan conditional
158,0.8320038464604593,Lee Gan conditional 7,Baseline,Lee Gan conditional
159,0.7260363831812021,Lee Gan conditional 7,Baseline,Lee Gan conditional
160,0.9143516384825416,Lee Gan conditional 8,Baseline,Lee Gan conditional
161,0.89031390754544,Lee Gan conditional 8,Baseline,Lee Gan conditional
162,0.888294453523597,Lee Gan conditional 8,Baseline,Lee Gan conditional
163,0.9486301967075892,Lee Gan conditional 8,Baseline,Lee Gan conditional
164,0.8835260819415658,Lee Gan conditional 8,Baseline,Lee Gan conditional
165,0.9514029366629465,Lee Gan conditional 8,Baseline,Lee Gan conditional
166,0.8887459891183035,Lee Gan conditional 8,Baseline,Lee Gan conditional
167,0.780222834373007,Lee Gan conditional 8,Baseline,Lee Gan conditional
168,0.9069710556341677,Lee Gan conditional 8,Baseline,Lee Gan conditional
169,0.9232633941027584,Lee Gan conditional 8,Baseline,Lee Gan conditional
170,0.9337612852758291,Lee Gan conditional 8,Baseline,Lee Gan conditional
171,0.9295352235132335,Lee Gan conditional 8,Baseline,Lee Gan conditional
172,0.8634229387555803,Lee Gan conditional 8,Baseline,Lee Gan conditional
173,0.8486736064054529,Lee Gan conditional 8,Baseline,Lee Gan conditional
174,0.865937836316167,Lee Gan conditional 8,Baseline,Lee Gan conditional
175,0.9357608094507335,Lee Gan conditional 8,Baseline,Lee Gan conditional
176,0.9020010500538105,Lee Gan conditional 8,Baseline,Lee Gan conditional
177,0.9199948992047992,Lee Gan conditional 8,Baseline,Lee Gan conditional
178,0.9432978727379624,Lee Gan conditional 8,Baseline,Lee Gan conditional
179,0.8718347354811065,Lee Gan conditional 8,Baseline,Lee Gan conditional
180,0.880945633868782,Lee Gan conditional 9,Baseline,Lee Gan conditional
181,0.902141337492028,Lee Gan conditional 9,Baseline,Lee Gan conditional
182,0.8898323214783959,Lee Gan conditional 9,Baseline,Lee Gan conditional
183,0.9286248343331475,Lee Gan conditional 9,Baseline,Lee Gan conditional
