Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
72,Level 4,0.9246651785714286,Baseline,Noise,0.9366414090614453,0.009097104892134666
73,Level 4,0.9587053571428571,Baseline,Noise,0.9748293112670295,0.005361941177397966
74,Level 4,0.8956473214285714,Baseline,Noise,0.8742265980308861,0.011879934929311275
75,Level 4,0.9553571428571429,Baseline,Noise,0.9680636682242991,0.006506169214844704
76,Level 4,0.8911830357142857,Baseline,Noise,0.8910489218566864,0.011158959940075874
77,Level 4,0.9698660714285714,Baseline,Noise,0.975056471891915,0.005056354217231274
78,Level 4,0.9481026785714286,Baseline,Noise,0.9541665875562476,0.007252248004078865
79,Level 4,0.9581473214285714,Baseline,Noise,0.9575538730343622,0.006031242664903402
80,Level 5,0.9564732142857143,Baseline,Noise,0.9502288843012296,0.006645416375249624
81,Level 5,0.8208705357142857,Baseline,Noise,0.9124337397366744,0.01689283922314644
82,Level 5,0.9748883928571429,Baseline,Noise,0.973580105577816,0.004367411602288485
83,Level 5,0.9525669642857143,Baseline,Noise,0.9743547331058962,0.006176101975142956
84,Level 5,0.8465401785714286,Baseline,Noise,0.9397686822077065,0.015063325874507427
85,Level 5,0.7516741071428571,Baseline,Noise,0.7883453033374207,0.024764759466052055
86,Level 5,0.83984375,Baseline,Noise,0.8684130714112077,0.017010396346449852
87,Level 5,0.8258928571428571,Baseline,Noise,0.9191982848232848,0.01702211983501911
88,Level 5,0.8783482142857143,Baseline,Noise,0.9311897462201135,0.013363969512283802
89,Level 5,0.9642857142857143,Baseline,Noise,0.9673122829861112,0.00582296634092927
90,Level 5,0.8950892857142857,Baseline,Noise,0.9317497479704994,0.011178490705788136
91,Level 5,0.8928571428571429,Baseline,Noise,0.93310546875,0.012188799679279327
92,Level 5,0.87109375,Baseline,Noise,0.935860850659057,0.012852669693529606
93,Level 5,0.9408482142857143,Baseline,Noise,0.9657669151055305,0.00747621338814497
94,Level 5,0.8102678571428571,Baseline,Noise,0.8532409658078107,0.01782015524804592
95,Level 5,0.9090401785714286,Baseline,Noise,0.9560383689794258,0.010012290440499783
96,Level 5,0.8482142857142857,Baseline,Noise,0.842061726006192,0.015765750780701637
97,Level 5,0.9503348214285714,Baseline,Noise,0.965210105102034,0.00751150120049715
98,Level 5,0.9162946428571429,Baseline,Noise,0.9298213560698335,0.011064833030104637
99,Level 5,0.94140625,Baseline,Noise,0.9429926327377425,0.008708001114428043
0,Level 1,0.98046875,MC Dropout,Noise,0.9920806569639808,0.0034841997548937798
1,Level 1,0.984375,MC Dropout,Noise,0.9916383219954649,0.003912888467311859
2,Level 1,0.9838169642857143,MC Dropout,Noise,0.9938388718289749,0.0035811623092740774
3,Level 1,0.9877232142857143,MC Dropout,Noise,0.9925783256291731,0.003467392409220338
4,Level 1,0.98828125,MC Dropout,Noise,0.9942459197117581,0.0031734874937683344
5,Level 1,0.9854910714285714,MC Dropout,Noise,0.989306559804861,0.003041551448404789
6,Level 1,0.984375,MC Dropout,Noise,0.987467606090055,0.0038886310067027807
7,Level 1,0.984375,MC Dropout,Noise,0.9925494007126661,0.0031288727186620235
8,Level 1,0.9815848214285714,MC Dropout,Noise,0.9901975984977691,0.003653482533991337
9,Level 1,0.9877232142857143,MC Dropout,Noise,0.9888803287108372,0.0039046313613653183
10,Level 1,0.9866071428571429,MC Dropout,Noise,0.99102092760181,0.0036979925353080034
11,Level 1,0.9832589285714286,MC Dropout,Noise,0.993700340522134,0.003620150964707136
12,Level 1,0.9849330357142857,MC Dropout,Noise,0.9894030007344454,0.0034769494086503983
13,Level 1,0.98828125,MC Dropout,Noise,0.9897286978032319,0.0030203694477677345
14,Level 1,0.984375,MC Dropout,Noise,0.9935819565921608,0.0035948806907981634
