,ROC,Measure,Classifier,GAN
155,0.9842224121093749,7,Baseline,Sricharan WGan 002 conditional
156,0.607562473842076,7,Baseline,Sricharan WGan 002 conditional
157,0.9943386778539541,7,Baseline,Sricharan WGan 002 conditional
158,0.9596844108737246,7,Baseline,Sricharan WGan 002 conditional
159,0.7650026593889508,7,Baseline,Sricharan WGan 002 conditional
140,0.9663761683872769,7,MC Dropout,Sricharan WGan 002 conditional
141,0.9493682238520407,7,MC Dropout,Sricharan WGan 002 conditional
142,0.89936486069037,7,MC Dropout,Sricharan WGan 002 conditional
143,0.8443345050422513,7,MC Dropout,Sricharan WGan 002 conditional
144,0.9677345120176977,7,MC Dropout,Sricharan WGan 002 conditional
145,0.9322920818718112,7,MC Dropout,Sricharan WGan 002 conditional
146,0.9771099479830996,7,MC Dropout,Sricharan WGan 002 conditional
147,0.952514025629783,7,MC Dropout,Sricharan WGan 002 conditional
148,0.9477430071149554,7,MC Dropout,Sricharan WGan 002 conditional
149,0.9809788295200893,7,MC Dropout,Sricharan WGan 002 conditional
150,0.9246042991171077,7,MC Dropout,Sricharan WGan 002 conditional
151,0.9434892304089605,7,MC Dropout,Sricharan WGan 002 conditional
152,0.9453996930803571,7,MC Dropout,Sricharan WGan 002 conditional
153,0.9629831119459503,7,MC Dropout,Sricharan WGan 002 conditional
154,0.9790882966956315,7,MC Dropout,Sricharan WGan 002 conditional
155,0.9865336515465561,7,MC Dropout,Sricharan WGan 002 conditional
156,0.9597781434351084,7,MC Dropout,Sricharan WGan 002 conditional
157,0.9302692024075254,7,MC Dropout,Sricharan WGan 002 conditional
158,0.9701671989596619,7,MC Dropout,Sricharan WGan 002 conditional
159,0.9528640435666454,7,MC Dropout,Sricharan WGan 002 conditional
120,0.3865488791952328,6,Baseline,Sricharan WGan 2e conditional
121,0.022991102568957273,6,Baseline,Sricharan WGan 2e conditional
122,0.6571406150350765,6,Baseline,Sricharan WGan 2e conditional
123,0.055613926478794644,6,Baseline,Sricharan WGan 2e conditional
124,0.02796204236088967,6,Baseline,Sricharan WGan 2e conditional
125,0.04372841971261161,6,Baseline,Sricharan WGan 2e conditional
126,0.7559878290915976,6,Baseline,Sricharan WGan 2e conditional
127,0.2617073837591677,6,Baseline,Sricharan WGan 2e conditional
128,0.298614501953125,6,Baseline,Sricharan WGan 2e conditional
129,0.04541840845224809,6,Baseline,Sricharan WGan 2e conditional
130,0.41017960528938135,6,Baseline,Sricharan WGan 2e conditional
131,0.06105275056800065,6,Baseline,Sricharan WGan 2e conditional
132,0.10551421496332909,6,Baseline,Sricharan WGan 2e conditional
133,0.08111883669483419,6,Baseline,Sricharan WGan 2e conditional
134,0.08289150315888075,6,Baseline,Sricharan WGan 2e conditional
135,0.3565430933115434,6,Baseline,Sricharan WGan 2e conditional
136,0.1694043217873087,6,Baseline,Sricharan WGan 2e conditional
137,0.19087250378667092,6,Baseline,Sricharan WGan 2e conditional
