Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
10,Level 0,0.9860491071428571,MC Dropout,No transform,0.990650820599887,0.0025369536597281694
11,Level 0,0.9877232142857143,MC Dropout,No transform,0.991884951206985,0.002306764479726553
12,Level 0,0.9877232142857143,MC Dropout,No transform,0.9908063687724705,0.0024729531724005938
13,Level 0,0.9877232142857143,MC Dropout,No transform,0.9855675398048278,0.003055151551961899
14,Level 0,0.9832589285714286,MC Dropout,No transform,0.9946840711312902,0.002319231629371643
15,Level 0,0.9838169642857143,MC Dropout,No transform,0.9928217967023295,0.002689860761165619
16,Level 0,0.9877232142857143,MC Dropout,No transform,0.9950179763739087,0.0021186405792832375
17,Level 0,0.9838169642857143,MC Dropout,No transform,0.9886752596475443,0.0032640148419886827
18,Level 0,0.9893973214285714,MC Dropout,No transform,0.9923115741977617,0.002319362945854664
19,Level 0,0.9905133928571429,MC Dropout,No transform,0.9928417564208782,0.002206886187195778
20,Level 0,0.9871651785714286,MC Dropout,No transform,0.9920367685009954,0.002456502988934517
21,Level 0,0.9866071428571429,MC Dropout,No transform,0.9922464177978884,0.0023556409869343042
22,Level 0,0.9877232142857143,MC Dropout,No transform,0.9896764252696456,0.0024743005633354187
23,Level 0,0.9866071428571429,MC Dropout,No transform,0.9896069004524887,0.0029876837506890297
24,Level 0,0.9849330357142857,MC Dropout,No transform,0.992865386633092,0.0023297558072954416
25,Level 0,0.9838169642857143,MC Dropout,No transform,0.9932520977174487,0.002743963385000825
26,Level 0,0.9893973214285714,MC Dropout,No transform,0.9933505506575236,0.0021836478263139725
27,Level 0,0.984375,MC Dropout,No transform,0.9892290249433106,0.003281752346083522
28,Level 0,0.9888392857142857,MC Dropout,No transform,0.9931997742663656,0.0022631913889199495
29,Level 0,0.9899553571428571,MC Dropout,No transform,0.9921708630840537,0.0022020144388079643
30,Level 0,0.9854910714285714,MC Dropout,No transform,0.9938801289310916,0.002471915679052472
31,Level 0,0.9871651785714286,MC Dropout,No transform,0.99184014550102,0.0023457598872482777
32,Level 0,0.9866071428571429,MC Dropout,No transform,0.9919636123680241,0.002485532546415925
33,Level 0,0.9849330357142857,MC Dropout,No transform,0.9915433847445179,0.00303971697576344
34,Level 0,0.9838169642857143,MC Dropout,No transform,0.9937606352807714,0.0023438227362930775
35,Level 0,0.9832589285714286,MC Dropout,No transform,0.9930949678395763,0.002720230259001255
36,Level 0,0.9866071428571429,MC Dropout,No transform,0.9951687405731524,0.0021780957467854023
37,Level 0,0.9838169642857143,MC Dropout,No transform,0.9884405500029337,0.0032423289958387613
38,Level 0,0.98828125,MC Dropout,No transform,0.9945954666451562,0.002317782025784254
39,Level 0,0.9893973214285714,MC Dropout,No transform,0.9930833852821562,0.0022007389925420284
40,Level 0,0.9888392857142857,MC Dropout,No transform,0.9928893905191873,0.0023946582805365324
41,Level 0,0.9871651785714286,MC Dropout,No transform,0.9926266375009217,0.0023155324161052704
42,Level 0,0.9854910714285714,MC Dropout,No transform,0.9914191131631674,0.0025284274015575647
43,Level 0,0.9827008928571429,MC Dropout,No transform,0.9892289937901851,0.0030952170491218567
44,Level 0,0.9871651785714286,MC Dropout,No transform,0.9895298252513087,0.002319418592378497
45,Level 0,0.9815848214285714,MC Dropout,No transform,0.9947284097369373,0.0027720702346414328
46,Level 0,0.9899553571428571,MC Dropout,No transform,0.9934548415382688,0.002152242697775364
47,Level 0,0.9838169642857143,MC Dropout,No transform,0.9872865609169323,0.0032706253696233034
48,Level 0,0.9871651785714286,MC Dropout,No transform,0.9965099417504363,0.0023176739923655987
49,Level 0,0.9893973214285714,MC Dropout,No transform,0.9945676373675305,0.0021990174427628517
